"drug","alert","rate","ratefill","ratecat","class1"
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","Abnormal Heart Rhythms",NULL,0,0,0
"5-alpha reductase inhibitors","Abnormal Heart Rhythms",NULL,0,0,0
"Abacavir","Abnormal Heart Rhythms",0.100976120438,0.100976120438,0,0
"aliskiren","Abnormal Heart Rhythms",1.19366161988,1.19366161988,1,0
"Antipsychotics","Abnormal Heart Rhythms",1.48591830428,1.48591830428,1,1
"asenapine","Abnormal Heart Rhythms",3.93191749817,3.93191749817,1,1
"Azithromycin","Abnormal Heart Rhythms",1.22910176295,1.22910176295,1,1
"benzocaine","Abnormal Heart Rhythms",0.714973897256,0.714973897256,0,0
"bisphosphonates","Abnormal Heart Rhythms",0.521600822149,0.521600822149,0,0
"boceprevir","Abnormal Heart Rhythms",NULL,0,0,0
"brentuximab","Abnormal Heart Rhythms",NULL,0,0,0
"citalopram","Abnormal Heart Rhythms",2.528652721,2.528652721,1,1
"dabigatran","Abnormal Heart Rhythms",22.9602214003,22.9602214003,1,0
"dalfampridine","Abnormal Heart Rhythms",2.6395318523,2.6395318523,1,0
"dasatinib","Abnormal Heart Rhythms",0.308897662161,0.308897662161,0,1
"dronedarone","Abnormal Heart Rhythms",41.7763216903,41.7763216903,1,0
"Drospirenone","Abnormal Heart Rhythms",0.743498123148,0.743498123148,0,0
"fluconazole","Abnormal Heart Rhythms",0.596438465451,0.596438465451,0,0
"ipilimumab","Abnormal Heart Rhythms",NULL,0,0,0
"lenalidomide","Abnormal Heart Rhythms",0.164047859048,0.164047859048,0,0
"linezolid","Abnormal Heart Rhythms",0.350478974716,0.350478974716,0,0
"Liquid Acetaminophen","Abnormal Heart Rhythms",NULL,0,0,0
"liraglutide","Abnormal Heart Rhythms",NULL,0,0,0
"ondansetron","Abnormal Heart Rhythms",0.976635372924,0.976635372924,0,1
"peginesatide","Abnormal Heart Rhythms",NULL,0,0,0
"pramipexole","Abnormal Heart Rhythms",0.158355206237,0.158355206237,0,0
"Proton Pump Inhibitors","Abnormal Heart Rhythms",0.409575137383,0.409575137383,0,0
"rosiglitazone","Abnormal Heart Rhythms",0.131629416711,0.131629416711,0,0
"Selective Serotonin Reuptake Inhibitor","Abnormal Heart Rhythms",1.15569931637,1.15569931637,1,0
"sodium oxybate","Abnormal Heart Rhythms",1.04923043428,1.04923043428,1,0
"telaprevir","Abnormal Heart Rhythms",NULL,0,0,0
"tolvaptan","Abnormal Heart Rhythms",0.68545334507,0.68545334507,0,0
"topiramate","Abnormal Heart Rhythms",0.188485877726,0.188485877726,0,0
"valproate","Abnormal Heart Rhythms",0.169404942461,0.169404942461,0,0
"varenicline","Abnormal Heart Rhythms",0.379501768415,0.379501768415,0,0
"zoledronic acid","Abnormal Heart Rhythms",1.17337879205,1.17337879205,1,0
"ibuprofen","Abnormal Heart Rhythms",0.277090946203,0.277090946203,0,0
"acetaminophen","Abnormal Heart Rhythms",0.235148072557,0.235148072557,0,0
"aspirin","Abnormal Heart Rhythms",1.36376652536,1.36376652536,1,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","qt interval",2.92396804043,2.92396804043,1,0
"5-alpha reductase inhibitors","qt interval",NULL,0,0,0
"Abacavir","qt interval",NULL,0,0,0
"aliskiren","qt interval",10.3028455285,10.3028455285,1,0
"Antipsychotics","qt interval",7.67083992823,7.67083992823,1,1
"asenapine","qt interval",63.5120082389,63.5120082389,1,1
"Azithromycin","qt interval",16.7236371772,16.7236371772,1,1
"benzocaine","qt interval",NULL,0,0,0
"bisphosphonates","qt interval",0.366066359533,0.366066359533,0,0
"boceprevir","qt interval",NULL,0,0,0
"brentuximab","qt interval",NULL,0,0,0
"citalopram","qt interval",17.4239146286,17.4239146286,1,1
"dabigatran","qt interval",1.97631588911,1.97631588911,1,0
"dalfampridine","qt interval",6.49770627339,6.49770627339,1,0
"dasatinib","qt interval",6.48289874111,6.48289874111,1,1
"dronedarone","qt interval",50.2095614944,50.2095614944,1,0
"Drospirenone","qt interval",NULL,0,0,0
"fluconazole","qt interval",7.26690961005,7.26690961005,1,0
"ipilimumab","qt interval",4.73356490162,4.73356490162,1,0
"lenalidomide","qt interval",4.49734430082,4.49734430082,1,0
"linezolid","qt interval",4.17646946036,4.17646946036,1,0
"Liquid Acetaminophen","qt interval",NULL,0,0,0
"liraglutide","qt interval",16.9555071598,16.9555071598,1,0
"ondansetron","qt interval",6.10262089332,6.10262089332,1,1
"peginesatide","qt interval",NULL,0,0,0
"pramipexole","qt interval",NULL,0,0,0
"Proton Pump Inhibitors","qt interval",2.3543710394,2.3543710394,1,0
"rosiglitazone","qt interval",NULL,0,0,0
"Selective Serotonin Reuptake Inhibitor","qt interval",4.84833425523,4.84833425523,1,0
"sodium oxybate","qt interval",NULL,0,0,0
"telaprevir","qt interval",NULL,0,0,0
"tolvaptan","qt interval",NULL,0,0,0
"topiramate","qt interval",5.48509539154,5.48509539154,1,0
"valproate","qt interval",0.780208613172,0.780208613172,0,0
"varenicline","qt interval",NULL,0,0,0
"zoledronic acid","qt interval",10.0398256688,10.0398256688,1,0
"ibuprofen","qt interval",NULL,0,0,0
"acetaminophen","qt interval",0.304933309223,0.304933309223,0,0
"aspirin","qt interval",0.0857840657365,0.0857840657365,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","torsades de pointes",NULL,0,0,0
"5-alpha reductase inhibitors","torsades de pointes",NULL,0,0,0
"Abacavir","torsades de pointes",1.40940935381,1.40940935381,1,0
"aliskiren","torsades de pointes",11.3733595906,11.3733595906,1,0
"Antipsychotics","torsades de pointes",7.02102051257,7.02102051257,1,1
"asenapine","torsades de pointes",NULL,0,0,1
"Azithromycin","torsades de pointes",13.4472059844,13.4472059844,1,1
"benzocaine","torsades de pointes",NULL,0,0,0
"bisphosphonates","torsades de pointes",NULL,0,0,0
"boceprevir","torsades de pointes",NULL,0,0,0
"brentuximab","torsades de pointes",NULL,0,0,0
"citalopram","torsades de pointes",18.5038693145,18.5038693145,1,1
"dabigatran","torsades de pointes",NULL,0,0,0
"dalfampridine","torsades de pointes",15.7972807447,15.7972807447,1,0
"dasatinib","torsades de pointes",NULL,0,0,1
"dronedarone","torsades de pointes",79.6420178799,79.6420178799,1,0
"Drospirenone","torsades de pointes",NULL,0,0,0
"fluconazole","torsades de pointes",10.9717953745,10.9717953745,1,0
"ipilimumab","torsades de pointes",NULL,0,0,0
"lenalidomide","torsades de pointes",NULL,0,0,0
"linezolid","torsades de pointes",1.90548582725,1.90548582725,1,0
"Liquid Acetaminophen","torsades de pointes",NULL,0,0,0
"liraglutide","torsades de pointes",NULL,0,0,0
"ondansetron","torsades de pointes",4.84215071966,4.84215071966,1,1
"peginesatide","torsades de pointes",NULL,0,0,0
"pramipexole","torsades de pointes",NULL,0,0,0
"Proton Pump Inhibitors","torsades de pointes",1.18602442229,1.18602442229,1,0
"rosiglitazone","torsades de pointes",NULL,0,0,0
"Selective Serotonin Reuptake Inhibitor","torsades de pointes",3.87559383382,3.87559383382,1,0
"sodium oxybate","torsades de pointes",NULL,0,0,0
"telaprevir","torsades de pointes",NULL,0,0,0
"tolvaptan","torsades de pointes",NULL,0,0,0
"topiramate","torsades de pointes",NULL,0,0,0
"valproate","torsades de pointes",0.185332235933,0.185332235933,0,0
"varenicline","torsades de pointes",NULL,0,0,0
"zoledronic acid","torsades de pointes",NULL,0,0,0
"ibuprofen","torsades de pointes",0.426675989895,0.426675989895,0,0
"acetaminophen","torsades de pointes",0.609359523142,0.609359523142,0,0
"aspirin","torsades de pointes",0.347159120326,0.347159120326,0,0
"(linagliptin OR exenatide OR liraglutide OR sitagliptin OR saxagliptin OR alogliptin)","bleeding",NULL,0,0,0
"5-alpha reductase inhibitors","bleeding",0.550650484809,0.550650484809,0,0
"Abacavir","bleeding",0.159125549364,0.159125549364,0,0
"aliskiren","bleeding",0.100559588898,0.100559588898,0,0
"Antipsychotics","bleeding",0.125529141947,0.125529141947,0,0
"asenapine","bleeding",NULL,0,0,0
"Azithromycin","bleeding",0.600456664739,0.600456664739,0,0
"benzocaine","bleeding",0.156213245839,0.156213245839,0,0
"bisphosphonates","bleeding",0.182566345026,0.182566345026,0,0
"boceprevir","bleeding",0.215484833353,0.215484833353,0,0
"brentuximab","bleeding",5.70048064048,5.70048064048,1,0
"citalopram","bleeding",0.345170213608,0.345170213608,0,1
"dabigatran","bleeding",14.5990974596,14.5990974596,1,1
"dalfampridine","bleeding",0.0801579196811,0.0801579196811,0,0
"dasatinib","bleeding",1.92098335488,1.92098335488,1,1
"dronedarone","bleeding",0.599137746633,0.599137746633,0,0
